,processed_review,0_Service/App related Issues,1_Payment Issues,2_Driver/Ride Issues,3_Booking/Cancellation Issues
0,It used to be a great app i used it for everything but since drivers are just wasting your time by canceling the trips sometimes even at the point of pick up and its not just once but sometimes it happens to the point of not having any drivers available The reason: they dont accept debit/credit cards anymore just cash And it is for every trip i request Totally disapointed I wont use it again :(,0.007813308914790444,0.35668494679904755,0.5112405870326964,0.12426115725346563
1,Painful experience First the app halts after every map movement when selecting location Second everytime it connects to a driver driver accepts the ride and the first message of the driver is Where do you want to go and then the driver decides whether to continue the ride or not Sometimes we have to wait and talk to 34 drivers and waste 3040 minutes before finally using the ride This is not acceptable in any way Why every driver wants 510 minutes ride Maybe your incentives,0.0068103296126458355,0.006738974481104715,0.4934440482296164,0.49300664767663294
2,I would say horrible customer service but that would mean they have customer service I waited outside for over an hour trying to reactivate my account after being told since youre in an unsafe location but currently safe I will report your concerns and the team will be with you shortly After 40mins I called again and was told the same thing What is the purpose of having a safety or emergency line when they dont help you in a safety or emergency situation,0.755496545119147,0.05073531522188396,0.007054872088072566,0.18671326757089662
3,Not sure what happened since COVID  probably 2 yrs since my last trip  but it seems in the effort to streamline the app has become confusing: to set pickup points determine where the vehicles are (ie: what the wait time is) and even the vehicle tiers have changed I get that there are users that learn the ins and outs every time there is an app update but if you want to attract more casual users stop changing the interface After 10 minutes of mucking about I just grabbed a cab,0.0068977762355450474,0.504480804948935,0.4815266708844213,0.007094747931098714
4,Usally an ok app but twice Ive had trouble with rides and have received little help Today a driver drove to the drop off address instead of picking me up and when I called her all she said to do was cancel it Contacted customer service and they refuse to give me my money back even though I was never in the car Most of the time its 5 stars but the customer service is a 1 if I could give it 0 stars I would ,0.6704022731414289,0.008573962166502466,0.31222512000022223,0.008798644691846413
5,Card transactions are being declined when theres funds available Next thing you have an amount owing but on your bank statement the transaction is successful Some drivers just cancel a trip after waiting for over 5 minutes and you have to request again Then wait again for another driver yet they are quick to cancel when they are the ones waiting,0.20475521958657783,0.22498616163282623,0.5602104370249069,0.010048181755689098
6,The trip fee changes once we end the trip We agreed to a trip because the fee is affordable but here the fee increases once the trip is ended Please fix this i trusted uber until now but this issue keep me doubting of the transparency of your service This happened not only to me and fyi i never changed the destination never asked to wait for anything nor did anything which cause to increase the fee The driver was bad at navigation maybe that was the reason But thats not my problem,0.007555369728724075,0.23150228136004716,0.38388008250582983,0.37706226640539886
7,I have been using the app in the UK for years but what happened today was absolutely outrageous After not finding a driver for like 34 mins a ~ £28 ride jumped up to ~£65 I have never seen anything like this and obviously as I had to get to the train station with my family I had accept that scandalous price Shame on you Uber This is an absolutely disgusting move and I am deeply disappointed Rest assured I wont use the service in my life ever again,0.15203330465844705,0.6983628701285555,0.14255756271259046,0.0070462625004069305
8,It was a good app before But just today I was so disappointed I was charged more than what I expected When I reported it the reply was it was based on the estimated time Even the driver was shocked of the fare It was supposedly 8 QR but was turned out to be 2134 I usually pay 8qr from Oqba IBN Nafie metro station to Jaber Bin Aflah,0.3830584349210369,0.010695159119181613,0.5950683315285179,0.011178074431263542
9,Overall experience is pretty satisfactory You get what youre supposed to But the Uber Moto service is abysmal so much so that you have to answer to the Moto Drivers about where youre headed and then youre left at their mercy on whether youre going to get the ride or not It is practically impossible to book a successful ride using Uber moto Its a shame that Uber has not taken any steps to address this issue,0.3362519930271668,0.007475246774892258,0.4457080263091767,0.21056473388876432
